time_s,standard_frequency_hz,transient_frequency_hz,standard_power_pu,transient_power_pu,standard_gate_pu,transient_gate_pu
1.31,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.32,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.33,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.34,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.35,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.36,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.37,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.38,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.39,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.40,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.41,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.42,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.43,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.44,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.45,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.46,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.47,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.48,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.49,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.50,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.51,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.52,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.53,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.54,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.55,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.56,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.57,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.58,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.59,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.60,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.61,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.62,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.63,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.64,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.65,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.66,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.67,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.68,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.69,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.70,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.71,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.72,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.73,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.74,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.75,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.76,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.77,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.78,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.79,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.80,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.81,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.82,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.83,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.84,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.85,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.86,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.87,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.88,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.89,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.90,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.91,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.92,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.93,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.94,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.95,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.96,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.97,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.98,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
1.99,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.00,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.01,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.02,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.03,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.04,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.05,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.06,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.07,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.08,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.09,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.10,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.11,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.12,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.13,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.14,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.15,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.16,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.17,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.18,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.19,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.20,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.21,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.22,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.23,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.24,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.25,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.26,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.27,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.28,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.29,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.30,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.31,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.32,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.33,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.34,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.35,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.36,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.37,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.38,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.39,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.40,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.41,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.42,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.43,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.44,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.45,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.46,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.47,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.48,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.49,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.50,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.51,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.52,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.53,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.54,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.55,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.56,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.57,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.58,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.59,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.60,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.61,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.62,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.63,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.64,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.65,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.66,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.67,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.68,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.69,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.70,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.71,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.72,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.73,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.74,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.75,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.76,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.77,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.78,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.79,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
2.80,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
